Farmer_ID,State,Crop,Irrigation_Type,Farmer_Scale,Crop_Damage_Pct,Advisory_Score,Insurance_Approval
F_1000,Bihar,Jute,Rain-fed,Small/Marginal,6.57,38.21,0
F_1001,Odisha,Rice,Rain-fed,Large,88.71,42.12,0
F_1002,Bihar,Soybean,Rain-fed,Small/Marginal,41.98,15.01,0
F_1003,Gujarat,Groundnut,Rain-fed,Large,49.69,83.3,1
F_1004,Uttar Pradesh,Cotton,Irrigated,Small/Marginal,91.69,61.79,1
F_1005,Odisha,Tur,Irrigated,Large,77.63,54.87,1
F_1006,Uttar Pradesh,Mustard,Irrigated,Large,13.05,86.83,0
F_1007,Chhattisgarh,Groundnut,Irrigated,Small/Marginal,56.54,22.73,0
F_1008,Odisha,Rice,Rain-fed,Small/Marginal,44.23,42.25,0
F_1009,Karnataka,Wheat,Irrigated,Small/Marginal,79.72,78.92,0
F_1010,Haryana,Wheat,Rain-fed,Small/Marginal,72.42,57.12,1
F_1011,Tamil Nadu,Moong,Rain-fed,Small/Marginal,69.04,18.65,1
F_1012,Assam,Cotton,Rain-fed,Small/Marginal,34.05,24.73,0
F_1013,Punjab,Barley,Rain-fed,Small/Marginal,80.5,59.43,1
F_1014,Assam,Rice,Rain-fed,Small/Marginal,5.24,7.28,0
F_1015,Gujarat,Rice,Irrigated,Small/Marginal,15.96,57.98,1
F_1016,Gujarat,Sugarcane,Rain-fed,Small/Marginal,33.56,48.82,0
F_1017,Punjab,Tur,Rain-fed,Large,7.68,92.17,0
F_1018,Punjab,Barley,Rain-fed,Small/Marginal,23.5,57.07,0
F_1019,Madhya Pradesh,Tur,Irrigated,Small/Marginal,83.02,62.44,1
F_1020,Maharashtra,Jute,Rain-fed,Small/Marginal,94.83,37.24,1
F_1021,Haryana,Jute,Irrigated,Large,30.46,100.0,1
F_1022,Assam,Soybean,Rain-fed,Large,26.45,32.06,0
F_1023,Jharkhand,Moong,Irrigated,Large,27.99,30.46,1
F_1024,Haryana,Millet,Rain-fed,Large,27.77,97.9,0
F_1025,Karnataka,Wheat,Irrigated,Small/Marginal,3.59,67.76,0
F_1026,Chhattisgarh,Mustard,Irrigated,Large,92.69,63.75,0
F_1027,Assam,Jute,Rain-fed,Large,21.37,71.8,0
F_1028,Uttar Pradesh,Barley,Rain-fed,Small/Marginal,42.0,48.37,0
F_1029,West Bengal,Rice,Rain-fed,Large,0.97,99.81,0
F_1030,Andhra Pradesh,Mustard,Rain-fed,Small/Marginal,85.8,60.7,0
F_1031,Uttar Pradesh,Gram,Rain-fed,Small/Marginal,73.12,81.26,0
F_1032,Punjab,Tur,Irrigated,Small/Marginal,94.68,66.62,1
F_1033,Assam,Jute,Rain-fed,Small/Marginal,78.16,17.36,1
F_1034,Rajasthan,Rice,Rain-fed,Small/Marginal,31.37,74.35,0
F_1035,Chhattisgarh,Jute,Rain-fed,Small/Marginal,24.79,10.64,0
F_1036,Punjab,Wheat,Rain-fed,Small/Marginal,69.77,50.68,0
F_1037,Jharkhand,Gram,Irrigated,Small/Marginal,36.41,51.19,1
